product_bought,gender,education,house_val,age,online,customer_psy,marriage,child,occupation,mortgage,house_owner,region,car_prob,fam_income
N,M,HS,0,Under 45,N,A,Single,Y,Sales/Service,Low,Renter,West,1,E
Y,F,College,278244,Under 65,Y,B,Married,NA,Blue Collar,Low,Owner,Midwest,2,E
Y,M,HS,102242,NA,N,D,Married,NA,Retired,Low,Owner,West,6,D
Y,F,College,497530,NA,N,C,Married,Y,Professional,Low,Owner,West,1,J
N,M,College,527254,Under 35,Y,C,NA,Y,Blue Collar,Low,NA,West,1,C
Y,M,College,247212,Under 45,Y,E,Married,Y,Others,Low,Owner,West,1,F
N,F,HS,0,Over 65,N,NA,NA,N,Retired,Low,NA,Northeast,0,NA
Y,M,Grad,0,Under 55,N,G,Married,N,Professional,Low,NA,South,2,D
Y,F,Bach,464667,Under 55,Y,C,Married,Y,Professional,Med,Owner,South,3,I
N,F,HS,0,Under 35,N,E,NA,Y,Blue Collar,Low,Owner,South,3,F
Y,M,Grad,2401488,Under 55,N,B,Married,Y,Professional,High,Owner,West,1,L
N,F,Bach,399757,Under 45,Y,E,NA,Y,Professional,Low,Owner,South,2,F
Y,M,Bach,256080,Under 35,Y,C,Married,Y,Sales/Service,High,Owner,South,4,F
Y,M,HS,282180,Under 65,N,B,Married,N,Sales/Service,Low,Owner,Northeast,3,D
N,M,HS,239963,Under 55,Y,E,NA,Y,Blue Collar,Med,Owner,Midwest,7,E
Y,F,College,0,Under 35,N,G,Single,Y,Professional,Low,Renter,Northeast,5,G
N,F,Grad,0,Under 65,N,H,NA,N,Professional,Low,Owner,West,2,E
Y,F,HS,115463,Under 65,Y,J,Married,N,Professional,Low,Owner,South,6,B
N,M,HS,122340,Under 55,Y,E,Married,Y,Blue Collar,Low,Owner,South,2,E
N,F,Bach,342412,Under 65,N,C,Married,N,Professional,High,Owner,South,1,F
N,F,Grad,477136,NA,Y,D,NA,N,Professional,High,Owner,South,1,J
Y,F,College,0,Under 55,N,E,NA,Y,Sales/Service,Low,Renter,West,9,D
Y,M,Grad,287607,Under 55,N,B,Married,NA,Sales/Service,Low,Owner,Northeast,3,E
Y,F,Bach,865900,Under 55,Y,B,Married,N,Professional,Low,Owner,Northeast,1,E
Y,F,HS,78218,Under 65,Y,B,Married,N,Sales/Service,Low,Owner,South,6,C
N,F,College,412105,Under 55,Y,C,Married,Y,Sales/Service,High,Owner,South,4,F
N,F,Bach,344058,NA,Y,B,Married,Y,Sales/Service,Low,Owner,South,1,H
Y,M,Grad,154371,Under 55,N,B,Married,Y,Professional,Low,Owner,West,1,E
N,F,Grad,279587,Under 65,Y,E,Married,NA,Professional,Low,Owner,Midwest,2,F
Y,M,College,463795,Under 25,Y,C,NA,Y,Professional,Med,Owner,Midwest,3,I
Y,M,Bach,379102,Under 55,Y,B,Married,NA,Professional,Low,Owner,South,7,F
Y,F,College,268401,Under 35,Y,C,Married,NA,Sales/Service,Med,Owner,South,3,E
N,F,College,328048,Under 25,Y,C,NA,Y,Sales/Service,Low,Renter,Midwest,1,G
N,F,College,73513,NA,Y,E,NA,Y,Sales/Service,Med,Owner,South,2,D
Y,M,College,238046,NA,N,F,NA,Y,Others,Low,Renter,South,2,E
Y,F,Bach,368420,Over 65,Y,H,Married,N,Retired,Med,Owner,Northeast,1,F
N,M,HS,204941,NA,N,G,Married,NA,Sales/Service,Low,Renter,South,9,B
Y,M,Grad,270254,Under 65,Y,B,Married,N,Professional,Med,Owner,Midwest,1,G
Y,M,College,238143,Over 65,Y,J,Married,N,Retired,Low,Owner,South,1,G
Y,M,College,0,Under 65,Y,E,NA,Y,Professional,Low,NA,West,7,F
N,F,College,168151,NA,Y,I,NA,N,Professional,Low,Owner,Midwest,3,E
N,M,Bach,434223,Under 55,Y,C,NA,Y,Professional,Low,Owner,Midwest,1,I
N,NA,College,0,Under 35,N,G,NA,N,Professional,Low,Renter,Midwest,8,G
Y,M,HS,286888,Under 35,Y,C,NA,Y,Blue Collar,Low,Owner,South,3,G
Y,M,Grad,1169548,Under 55,Y,C,Married,Y,Professional,Low,Owner,Northeast,1,L
Y,M,College,344031,Under 25,Y,C,NA,Y,Professional,Med,Owner,South,2,G
N,M,HS,642620,Under 55,Y,B,Married,N,Professional,Low,Owner,Midwest,1,L
Y,M,Less than HS,740949,Under 65,Y,B,Married,Y,Professional,Low,Owner,Midwest,1,F
Y,M,HS,108302,Under 55,Y,J,Married,NA,Blue Collar,Low,Owner,West,8,E
Y,M,College,280253,Under 55,N,B,NA,NA,Sales/Service,Low,NA,South,1,H
Y,F,College,171805,Under 55,Y,C,NA,Y,Professional,Low,Owner,Midwest,2,E
N,F,HS,157920,Under 35,N,E,NA,Y,Blue Collar,Low,Renter,South,7,A
Y,M,College,362970,Under 65,Y,E,Married,N,Professional,Low,Owner,West,2,I
N,F,College,97036,Under 65,Y,B,NA,NA,Others,Low,Owner,Northeast,1,H
Y,F,College,370589,NA,N,C,Married,Y,Professional,High,Owner,South,4,I
Y,M,HS,352397,Under 65,Y,B,Married,N,Professional,Med,Owner,South,2,F
Y,F,Grad,0,Under 35,Y,H,Married,N,Sales/Service,Low,NA,West,5,E
N,F,Grad,231385,Under 45,Y,C,Married,Y,Sales/Service,Low,Owner,South,1,F
Y,F,Grad,0,Under 35,Y,G,Married,Y,Blue Collar,Low,NA,Midwest,5,D
N,F,HS,69023,NA,Y,J,Married,Y,Professional,Low,Renter,Midwest,4,E
Y,M,Bach,434735,Under 35,Y,B,NA,N,Professional,Low,Owner,South,1,J
Y,M,Bach,472569,Under 55,Y,E,NA,NA,Professional,Low,Owner,Northeast,2,G
Y,M,College,337133,Under 65,Y,C,NA,N,Professional,High,Owner,South,1,J
Y,M,College,398209,Under 55,Y,B,Married,NA,Blue Collar,Med,Owner,Northeast,1,F
N,M,HS,151946,Over 65,Y,F,Married,N,Sales/Service,Low,Owner,South,4,E
Y,M,Grad,178542,Under 55,Y,B,Married,N,Sales/Service,Low,Owner,Midwest,3,F
N,F,College,134070,Under 55,Y,I,Married,Y,Sales/Service,Low,Owner,South,1,E
Y,M,Bach,0,NA,Y,G,Single,NA,Blue Collar,Low,Renter,South,8,C
Y,M,College,298387,Under 65,N,D,Married,N,Professional,Low,NA,Midwest,3,D
Y,M,HS,171320,Under 55,N,G,Single,Y,Blue Collar,Med,Owner,South,1,D
N,M,College,533120,NA,Y,E,Married,Y,Others,Low,Renter,West,7,D
N,M,HS,0,Over 65,N,D,Married,N,Blue Collar,Low,Owner,Northeast,5,B
Y,F,Grad,0,Under 65,Y,NA,Married,N,Professional,Low,NA,South,0,NA
Y,F,Bach,270211,Under 35,Y,C,Married,Y,Sales/Service,Low,Owner,South,1,E
Y,M,College,1044928,Under 25,Y,B,NA,N,Sales/Service,High,Owner,West,1,A
Y,M,HS,1058662,Under 45,Y,B,NA,N,Professional,High,Owner,West,1,L
Y,M,Bach,486794,Over 65,Y,H,Married,N,Retired,Low,Owner,West,2,E
Y,M,HS,138192,Under 65,Y,E,Married,Y,Professional,Low,Owner,South,4,G
Y,M,College,125209,Under 65,Y,E,Married,N,Sales/Service,Low,Renter,South,3,E
Y,M,Grad,195360,Over 65,Y,C,NA,N,Retired,Low,Owner,Midwest,1,G
N,M,College,215820,Under 25,Y,B,NA,Y,Blue Collar,Med,Owner,Midwest,3,F
Y,M,Bach,66599,Under 45,Y,F,Single,Y,Professional,Low,Owner,Northeast,6,F
Y,M,HS,324645,NA,Y,E,Married,NA,Sales/Service,Low,Owner,West,8,E
N,NA,Bach,0,NA,N,G,Single,N,Sales/Service,Low,Renter,South,9,D
N,M,HS,0,Over 65,Y,D,Married,N,Blue Collar,Low,Owner,Midwest,6,F
Y,M,HS,373488,Under 45,Y,E,NA,NA,Others,Low,Owner,West,1,E
N,M,Bach,0,NA,Y,J,NA,NA,Others,Low,Owner,Midwest,7,H
N,F,HS,352811,Over 65,Y,D,Married,N,Retired,Low,Owner,West,4,F
Y,F,Grad,334065,Under 55,Y,C,Married,Y,Professional,Med,Owner,South,1,H
Y,M,Bach,606988,Under 65,N,B,Married,NA,Professional,Low,Owner,Midwest,1,J
N,M,Bach,552780,Under 45,Y,B,Married,NA,Professional,Low,Owner,West,1,I
N,M,College,240181,Under 25,Y,E,Married,N,Sales/Service,Med,Owner,Midwest,3,G
Y,M,Bach,552957,Under 45,Y,C,Married,Y,Sales/Service,High,Owner,West,2,H
Y,F,Bach,642936,NA,Y,C,NA,Y,Professional,Low,Owner,South,2,J
N,F,Bach,0,Over 65,Y,H,NA,N,Professional,Low,Renter,South,4,A
Y,M,Grad,607934,Under 65,Y,C,Married,Y,Professional,High,Owner,Midwest,1,H
N,M,Less than HS,355994,Under 45,Y,E,NA,Y,Sales/Service,Low,Owner,Northeast,1,E
N,F,College,454279,Under 55,Y,E,NA,N,Professional,Med,Owner,West,1,A
Y,M,Bach,504190,Under 45,Y,C,Married,Y,Professional,High,Owner,South,3,E
N,F,HS,37875,Under 35,N,G,Single,Y,Sales/Service,Low,Renter,Northeast,6,D
N,M,Less than HS,185866,Under 55,N,B,Married,N,Professional,Low,Owner,Midwest,2,F
Y,M,College,469702,Under 25,Y,C,NA,Y,Sales/Service,Low,Owner,South,2,I
Y,M,College,371525,Over 65,N,C,NA,NA,Retired,Med,Owner,South,1,F
Y,M,College,279585,NA,N,C,Married,Y,Sales/Service,Med,Owner,South,8,C
N,F,Grad,582475,Under 35,Y,B,Married,Y,Sales/Service,Low,Renter,South,1,F
Y,M,Grad,201432,Under 65,Y,I,Single,N,Professional,Med,Owner,South,1,E
N,F,HS,0,Over 65,Y,D,NA,N,Retired,Low,Owner,South,6,A
Y,M,Bach,298660,Under 45,Y,C,NA,N,Professional,Low,Renter,West,1,I
Y,F,Bach,211100,Under 45,Y,C,Married,Y,Blue Collar,Low,Owner,Midwest,3,G
N,M,College,0,Under 45,Y,E,Married,Y,Blue Collar,Low,Owner,Midwest,5,E
Y,M,HS,0,Under 65,Y,G,NA,Y,Sales/Service,Low,Renter,Northeast,6,D
Y,F,College,175664,NA,N,E,Married,N,Professional,Low,Owner,Midwest,2,A
Y,M,Bach,1099210,Under 65,Y,B,Married,N,Professional,Low,Owner,West,1,A
Y,M,Grad,1378632,Under 55,N,C,Married,Y,Professional,Low,Renter,West,1,H
N,F,HS,480057,Over 65,Y,I,Married,N,Retired,Low,Owner,South,1,F
Y,F,HS,106053,Over 65,N,I,NA,Y,Retired,Low,NA,South,5,E
N,M,College,120663,Under 35,N,G,Married,NA,Sales/Service,Low,Owner,Midwest,2,C
Y,M,HS,495405,Under 45,Y,C,Married,Y,Blue Collar,High,Owner,South,1,H
N,M,College,726485,NA,Y,B,Married,N,Sales/Service,Low,Owner,South,5,K
Y,M,HS,248302,Over 65,Y,G,Married,NA,Retired,Low,Owner,West,3,D
Y,M,Grad,0,Under 45,Y,D,Married,N,Sales/Service,Low,Owner,Northeast,3,F
N,M,Grad,402864,Under 65,Y,E,Married,Y,Others,High,Owner,Northeast,3,E
N,M,Bach,309748,NA,Y,B,NA,N,Others,Med,Owner,South,4,I
N,M,HS,209312,Under 65,Y,E,NA,N,Sales/Service,Low,Owner,South,7,E
Y,M,Bach,1074740,Under 45,Y,C,Married,Y,Professional,High,Owner,Northeast,1,L
N,M,College,190444,NA,Y,C,NA,Y,Sales/Service,Low,Owner,South,5,G
N,F,Bach,455184,Under 65,Y,E,Married,Y,Professional,Med,Owner,West,3,H
N,F,Bach,734823,Under 35,N,E,NA,NA,Professional,Low,Owner,Northeast,2,C
Y,F,College,331578,Under 55,Y,C,NA,Y,Professional,Med,Owner,Midwest,2,F
Y,M,College,0,Under 55,Y,A,Single,NA,Sales/Service,Low,Renter,West,9,C
Y,F,Less than HS,223177,Under 65,Y,D,Married,N,Others,Low,Owner,Northeast,2,F
Y,M,College,173142,Under 45,N,E,Single,Y,Professional,Low,Renter,Midwest,7,E
Y,NA,Bach,210849,NA,N,E,NA,NA,Sales/Service,Med,Owner,South,7,E
N,M,College,171729,Under 45,Y,I,NA,N,Professional,Low,Owner,South,1,E
N,F,College,236037,Under 45,Y,E,Married,Y,Sales/Service,Low,Renter,West,5,D
N,F,HS,0,NA,N,E,NA,Y,Sales/Service,Low,NA,Midwest,9,D
N,F,College,0,Under 45,N,G,Single,Y,Sales/Service,Low,Renter,Northeast,3,F
N,M,Less than HS,181594,Under 35,N,I,Married,Y,Blue Collar,Low,Owner,Midwest,2,F
N,NA,HS,671440,NA,Y,B,NA,Y,Professional,High,Owner,West,1,G
N,F,Less than HS,87309,Over 65,Y,F,NA,NA,Retired,Low,Owner,West,5,G
N,F,Grad,0,Under 45,Y,A,Single,Y,Professional,Low,NA,West,1,F
Y,M,Bach,842619,Under 45,Y,C,NA,NA,Professional,High,Owner,South,1,K
Y,M,HS,0,Under 65,Y,B,Married,N,Professional,Low,Owner,South,3,D
Y,M,Bach,0,Under 35,N,E,Single,NA,Professional,Low,Renter,West,8,D
N,F,Bach,401820,Over 65,N,E,Married,N,Retired,Low,Owner,Northeast,4,G
N,F,Grad,503939,Under 65,Y,B,Married,N,Professional,High,Owner,Northeast,1,K
N,M,Bach,919088,Under 45,Y,C,Married,Y,Professional,High,Owner,West,1,J
Y,M,Bach,589068,Under 65,Y,B,Married,NA,Professional,Low,Owner,West,1,H
Y,F,Grad,53826,Under 55,Y,F,Married,Y,Professional,Low,Owner,Midwest,8,D
N,F,NA,0,NA,N,G,Single,NA,Blue Collar,Low,Renter,South,9,B
N,M,Grad,0,Under 55,N,F,Married,Y,Professional,Low,NA,Midwest,4,E
N,M,HS,268554,Over 65,Y,D,Single,N,Retired,Low,Owner,Midwest,6,D
N,M,Bach,299450,Under 45,Y,I,NA,Y,Professional,Med,Owner,Midwest,2,G
Y,M,HS,0,Under 35,N,G,NA,Y,Blue Collar,Low,Renter,West,9,D
N,M,Less than HS,0,Over 65,Y,I,NA,N,Retired,Low,Owner,Midwest,6,C
Y,F,Bach,0,Under 45,Y,C,Married,Y,Professional,Low,Renter,South,1,E
N,NA,HS,255060,NA,N,G,NA,Y,Others,Low,Renter,Midwest,9,A
Y,M,Grad,490391,Over 65,Y,B,Married,N,Professional,Low,Owner,Northeast,1,L
N,NA,Less than HS,0,Under 35,N,E,Single,Y,Blue Collar,Low,Renter,South,7,C
N,M,HS,0,NA,N,E,Married,NA,Sales/Service,Low,Renter,Northeast,7,D
Y,M,College,2500000,Under 45,Y,B,Married,NA,Professional,High,Owner,South,1,L
N,F,Less than HS,208462,Under 55,Y,G,Single,NA,Sales/Service,Med,Owner,South,8,C
N,F,College,161429,Under 65,Y,J,Married,Y,Retired,Med,Owner,Midwest,2,E
Y,F,HS,69282,Under 45,Y,I,Married,NA,Blue Collar,Low,Owner,Midwest,9,G
Y,F,Bach,145406,Under 45,Y,I,NA,N,Professional,Low,Owner,Midwest,2,H
Y,M,HS,267420,Under 65,Y,I,Married,N,Professional,Low,Owner,West,6,B
Y,F,College,444720,NA,Y,F,NA,NA,Sales/Service,Low,Owner,Northeast,5,C
Y,M,HS,350282,Under 45,Y,C,Married,Y,Professional,High,Owner,Midwest,1,K
N,M,College,0,NA,Y,D,NA,N,Sales/Service,Low,Owner,Northeast,3,E
N,M,HS,385860,NA,Y,I,NA,NA,Sales/Service,Low,Owner,Northeast,8,D
Y,M,Less than HS,422549,Under 65,Y,H,Married,N,Sales/Service,Low,Owner,South,1,F
N,F,Less than HS,0,Over 65,N,H,NA,N,Retired,Low,Owner,South,4,B
Y,M,Bach,0,Under 65,Y,A,Single,NA,Sales/Service,Low,Renter,South,5,D
N,F,HS,300186,Over 65,N,D,NA,N,Retired,Low,Owner,Northeast,1,G
N,F,HS,117327,Over 65,Y,D,NA,N,Professional,Low,Owner,South,2,D
Y,M,HS,96236,Under 45,Y,J,Married,Y,Blue Collar,Low,Owner,South,6,E
Y,M,Bach,398024,NA,Y,C,NA,Y,Professional,Low,Owner,West,2,G
Y,M,Grad,2988420,Over 65,Y,B,Married,Y,Sales/Service,Low,Owner,Northeast,1,L
N,F,Bach,993273,Under 65,Y,B,Married,N,Professional,Low,Owner,West,2,H
Y,M,HS,806872,NA,Y,A,Single,N,Sales/Service,Low,Renter,Northeast,5,H
N,F,Less than HS,252934,NA,N,G,Single,Y,Sales/Service,Low,Renter,West,4,D
N,F,HS,157220,Under 65,Y,C,NA,Y,Professional,Med,Owner,South,2,F
N,F,College,36951,NA,N,F,Married,N,Sales/Service,Low,Owner,South,6,C
Y,F,HS,162115,Over 65,Y,F,NA,N,Retired,Low,Owner,Midwest,7,F
Y,F,College,0,Under 55,Y,C,NA,Y,Sales/Service,Low,NA,Northeast,3,E
Y,F,Bach,281126,Under 45,Y,E,Married,Y,Professional,Med,Owner,Midwest,4,G
Y,F,HS,53410,Under 35,N,G,Married,Y,Retired,Low,Renter,South,9,D
Y,M,College,614825,Under 45,Y,C,NA,Y,Professional,High,Owner,South,2,H
N,F,HS,0,Under 65,Y,I,Married,N,Sales/Service,Low,NA,Midwest,6,E
N,M,College,0,NA,N,F,Single,NA,Sales/Service,Low,Owner,Midwest,9,D
N,F,Bach,198870,Over 65,Y,C,Married,N,Professional,Low,Owner,West,3,E
Y,F,College,0,Under 35,Y,C,Married,Y,Blue Collar,Low,Owner,Midwest,7,E
N,F,College,311282,Under 25,Y,F,NA,N,Professional,Low,Owner,West,5,F
Y,M,Bach,1624928,Under 25,Y,C,NA,Y,Professional,High,Owner,Northeast,1,L
N,F,HS,119880,Under 45,Y,E,Single,NA,Blue Collar,Low,Owner,Midwest,3,E
Y,M,Bach,515308,NA,Y,B,NA,Y,Sales/Service,High,Owner,Midwest,1,K
N,M,Less than HS,692782,Under 65,Y,B,Married,N,Retired,High,Owner,South,1,G
Y,M,College,350898,Under 35,Y,F,Single,NA,Sales/Service,Low,Renter,Northeast,2,G
N,M,College,187044,NA,Y,I,NA,N,Retired,Low,Owner,Northeast,4,E
Y,M,Grad,701480,Under 45,Y,C,Married,Y,Professional,High,Owner,Northeast,1,K
Y,F,Less than HS,299859,Under 65,Y,B,Married,N,Professional,Low,Owner,South,1,K
Y,F,Grad,429154,Under 55,Y,B,Married,N,Professional,Low,Owner,South,1,H
Y,M,Grad,835267,Under 45,Y,B,Married,Y,Professional,High,Owner,Northeast,1,L
Y,M,Bach,0,NA,Y,G,Single,NA,Professional,Low,Renter,South,8,B
N,F,HS,0,Under 35,N,E,NA,Y,Sales/Service,Low,Renter,South,9,A
N,M,College,301068,Under 55,N,G,NA,Y,Blue Collar,Low,Renter,West,8,F
N,NA,Bach,171675,Under 45,Y,C,NA,Y,Professional,Low,Owner,South,1,E
N,F,Bach,578888,Under 65,Y,B,NA,N,Professional,Low,Owner,Northeast,1,G
Y,F,College,142807,Under 25,N,F,NA,Y,Sales/Service,Low,Owner,West,7,E
N,F,HS,0,Under 55,N,E,Single,N,Sales/Service,Low,Renter,Northeast,2,A
Y,M,College,351602,Under 55,N,C,NA,N,Professional,Med,Owner,South,3,G
Y,M,Grad,388803,Under 65,Y,E,NA,Y,Sales/Service,Low,Owner,West,2,F
Y,M,HS,237620,Under 55,Y,C,Married,Y,Sales/Service,Low,Owner,South,4,G
N,M,College,270941,Over 65,Y,E,Married,Y,Blue Collar,Low,Owner,Midwest,5,G
Y,M,College,314377,Under 55,Y,E,Married,Y,Professional,Med,Owner,West,5,F
Y,F,Less than HS,240236,Under 55,Y,E,NA,NA,Blue Collar,Med,Owner,South,4,I
N,F,College,0,Under 55,Y,G,Single,Y,Sales/Service,Low,Renter,Midwest,9,D
N,M,College,199753,NA,N,F,Married,NA,Blue Collar,Med,Owner,Midwest,2,E
Y,M,College,279007,Under 35,Y,C,Married,Y,Sales/Service,Low,Owner,Midwest,2,G
Y,F,Grad,155325,Under 55,N,E,NA,N,Professional,Low,Owner,South,4,E
Y,M,Grad,339229,Over 65,Y,B,NA,NA,Professional,Low,Owner,Northeast,2,G
Y,F,College,1041168,Under 55,Y,B,Married,Y,Professional,High,Owner,Northeast,1,L
Y,F,Less than HS,0,Under 55,N,G,Single,Y,Sales/Service,Low,Renter,Northeast,9,F
Y,M,Grad,237303,Under 35,Y,C,Married,N,Professional,Low,Owner,Northeast,2,E
N,M,Grad,2197767,Over 65,N,B,Married,N,Retired,High,Owner,West,1,L
Y,F,HS,0,Over 65,Y,H,NA,N,Sales/Service,Low,Owner,South,2,E
N,M,College,742224,NA,N,G,Married,NA,Others,Low,Renter,West,8,C
N,M,HS,135138,Under 45,Y,F,Married,Y,Blue Collar,Low,Renter,Northeast,5,C
N,M,College,0,Under 25,Y,E,NA,Y,Blue Collar,Low,Renter,Northeast,6,D
Y,F,College,202304,Under 55,N,F,Married,Y,Blue Collar,Low,Owner,South,1,F
N,F,College,255060,Under 55,N,C,Married,N,Sales/Service,Low,Owner,South,3,F
N,M,HS,275170,Under 25,Y,E,Single,NA,Blue Collar,Low,Owner,West,6,E
N,F,Grad,0,Over 65,N,H,Married,N,Retired,Low,Renter,Midwest,5,C
Y,M,HS,0,Under 65,N,B,NA,N,Sales/Service,Low,Owner,Midwest,2,L
N,F,College,243288,Over 65,Y,D,Married,N,Retired,Low,Owner,West,5,E
N,F,Less than HS,153180,Under 45,Y,C,Married,Y,Professional,Low,Owner,Midwest,1,I
Y,M,Grad,0,Under 35,Y,G,Single,NA,Blue Collar,Low,Owner,South,2,E
N,F,Less than HS,87200,Over 65,N,G,NA,N,Retired,Low,Renter,South,8,D
Y,M,Bach,303020,Under 45,Y,C,Married,NA,Professional,Low,Renter,South,5,F
Y,M,Grad,176253,Under 35,N,E,Single,N,Professional,Low,Owner,South,3,E
N,M,Grad,258144,Under 35,Y,A,Single,Y,Professional,Med,Owner,South,1,E
Y,M,Less than HS,310006,Under 65,Y,B,Married,N,Professional,Low,Owner,Midwest,2,H
Y,F,HS,246983,NA,Y,C,NA,NA,Professional,Low,Renter,South,4,F
Y,M,Bach,316065,Under 35,Y,C,Married,NA,Professional,High,Owner,West,1,I
N,M,College,0,NA,Y,G,Single,NA,Sales/Service,Low,Renter,West,9,E
N,M,HS,133470,Under 65,Y,E,Married,Y,Others,Low,Owner,Midwest,2,E
N,M,Bach,286059,Under 45,Y,B,Married,Y,Professional,Low,NA,Midwest,1,H
Y,M,College,402493,Under 55,Y,B,NA,N,Professional,Med,Owner,South,2,F
N,M,Grad,165135,Under 65,Y,I,Married,Y,Sales/Service,Low,Owner,South,3,E
N,M,Less than HS,0,Under 65,Y,B,Married,N,Sales/Service,Low,Owner,Northeast,3,E
Y,M,Grad,229881,Under 45,Y,E,NA,NA,Sales/Service,Low,Renter,West,9,E
Y,M,Grad,264815,Under 55,Y,E,Married,Y,Professional,Low,Owner,South,3,E
Y,F,Bach,436436,Under 55,N,C,Married,Y,Professional,Low,Owner,Northeast,1,J
N,F,College,160099,Under 65,Y,I,NA,N,Professional,Low,Owner,Northeast,2,H
N,M,Grad,619556,Under 25,Y,B,NA,N,Others,Low,Owner,South,7,F
N,M,College,400575,NA,N,A,Married,Y,Professional,Low,Renter,West,2,E
Y,F,Grad,504670,Under 45,Y,C,Married,Y,Sales/Service,Low,NA,South,2,F
N,F,Bach,243288,Over 65,Y,B,Married,N,Retired,Low,Owner,South,2,E
N,M,College,347404,Under 55,Y,B,Married,Y,Blue Collar,High,Owner,West,4,F
Y,M,NA,25342,NA,Y,D,NA,N,Others,Low,Owner,Northeast,2,E
Y,M,Grad,0,Over 65,Y,B,NA,N,Retired,Low,NA,Northeast,2,I
Y,M,Grad,335220,Under 35,N,E,NA,NA,Professional,Low,Owner,Northeast,1,F
Y,F,HS,306072,Under 65,Y,B,Married,N,Professional,Low,Owner,Midwest,1,H
Y,F,Bach,489846,Over 65,Y,B,NA,N,Sales/Service,Low,Owner,South,1,H
N,M,HS,0,Under 65,N,G,NA,NA,Sales/Service,Low,Renter,West,9,A
Y,M,Bach,637420,Under 55,Y,B,Married,Y,Professional,High,Owner,South,1,J
Y,F,Grad,236430,Under 35,Y,B,Married,Y,Professional,Low,Owner,Midwest,3,G
Y,F,Bach,241735,Under 45,Y,C,Married,Y,Others,Med,Owner,Midwest,4,E
Y,F,HS,0,Under 55,Y,E,Married,NA,Blue Collar,Low,Owner,Midwest,1,G
Y,F,Bach,1053070,Under 55,Y,B,Married,Y,Professional,High,Owner,Midwest,1,L
N,F,College,0,Under 55,Y,H,Married,N,Sales/Service,Low,Renter,South,7,D
Y,F,College,371962,Under 55,Y,B,Married,Y,Professional,Med,Owner,Midwest,2,B
N,M,Less than HS,318934,Over 65,N,I,Married,N,Retired,Low,Owner,South,2,G
N,M,College,61852,Under 25,N,G,NA,Y,Blue Collar,Low,Renter,Midwest,9,E
Y,M,HS,310800,Over 65,Y,B,NA,Y,Retired,Low,Owner,Midwest,2,J
Y,M,HS,300889,Under 55,Y,A,NA,Y,Professional,Low,Renter,South,1,E
N,F,HS,0,Under 55,N,G,Single,Y,Sales/Service,Low,Renter,Northeast,5,C
Y,F,Grad,374578,Over 65,Y,B,NA,N,Professional,High,Owner,Midwest,1,L
Y,F,Grad,0,Under 35,Y,G,Single,NA,Professional,Low,NA,Northeast,3,D
N,M,HS,73567,Under 55,N,J,Married,N,Blue Collar,Low,Owner,South,8,D
Y,F,College,179850,Under 65,Y,E,NA,NA,Professional,Low,NA,South,6,E
N,M,HS,0,Under 35,N,E,NA,Y,Blue Collar,Low,Renter,South,5,C
Y,M,Bach,246340,NA,N,A,Single,NA,Sales/Service,Med,Owner,Midwest,9,D
Y,F,Less than HS,236301,Under 55,N,B,Married,N,Professional,Low,Owner,Midwest,2,H
Y,M,Bach,251877,Under 45,Y,C,Married,Y,Sales/Service,Med,Owner,South,4,G
N,F,College,0,NA,N,E,Single,Y,Sales/Service,Low,Renter,South,6,C
Y,M,HS,0,Under 65,Y,G,NA,N,Blue Collar,Low,NA,West,6,A
Y,M,Grad,848565,Over 65,Y,B,NA,Y,Retired,Med,Owner,South,1,L
Y,M,Grad,359220,Under 55,Y,E,NA,Y,Professional,Med,Owner,Northeast,4,G
Y,F,College,0,NA,Y,C,Married,Y,Farm,Low,Owner,Midwest,2,E
N,F,Bach,319086,Under 65,Y,A,Single,NA,Sales/Service,Low,Renter,West,7,E
Y,F,Bach,407572,Under 45,Y,B,Married,Y,Professional,High,Owner,South,1,L
N,F,HS,0,Over 65,Y,E,Married,N,Sales/Service,Low,Owner,South,2,D
Y,M,College,219253,Under 45,Y,C,Married,Y,Professional,Med,Owner,Northeast,3,H
N,M,HS,335338,Under 55,Y,B,Married,N,Retired,Med,Owner,South,2,E
Y,F,College,93262,Under 35,Y,C,Married,Y,Sales/Service,Low,Owner,Midwest,3,A
N,F,Bach,527328,Under 35,Y,B,Married,Y,Professional,High,Owner,South,1,H
Y,F,Bach,193158,Under 45,Y,I,Married,Y,Professional,Low,Owner,South,3,E
Y,F,College,420543,NA,Y,D,NA,N,Professional,Med,Owner,South,2,F
N,F,College,83930,NA,N,H,NA,NA,Sales/Service,Low,Owner,South,8,D
Y,M,College,373630,Under 55,Y,I,Married,N,Professional,Low,Owner,South,1,G
Y,M,Bach,1498314,Under 65,Y,B,Married,N,Professional,Low,Owner,Northeast,1,L
N,M,College,169550,Under 55,N,C,Married,Y,Blue Collar,Med,Owner,South,3,E
N,F,College,270309,Under 25,Y,B,NA,NA,Sales/Service,Med,Owner,South,1,J
N,F,HS,53025,NA,Y,G,Single,N,Sales/Service,Low,Renter,South,9,B
Y,M,Grad,0,Under 55,Y,C,Married,Y,Sales/Service,Low,Owner,Midwest,2,H
Y,M,College,1298582,Under 25,N,C,NA,Y,Professional,Low,Owner,West,1,H
N,F,Less than HS,231189,Under 35,N,F,Married,N,Blue Collar,Low,Renter,South,8,D
N,F,College,0,Under 45,N,E,Married,Y,Sales/Service,Low,NA,South,3,I
